#	human_gene	human_chr	human_strand	hg19_exon_start	hg19_exon_end	hg18_exon_start	hg18_exon_end	human_exon_len	human_intergenic_5p_start	human_intergenic_5p_end	human_intergenic_5p_len	human_intergenic_3p_start	human_intergenic_3p_end	human_intergenic_3p_len	human_exon_divergence	human_intergenic_5p_divergence	human_intergenic_3p_divergence	human_rec_start	human_rec_end	human_rec_rate	chimp_useability	chimp_transcript	chimp_gene_and_exon	chimp_chr	chimp_strand	chimp_UCSC_start	chimp_UCSC_end	chimp_exon_start	chimp_exon_end	chimp_exon_len	chimp_intergenic_5p_start	chimp_intergenic_5p_end	chimp_intergenic_5p_len	chimp_intergenic_3p_start	chimp_intergenic_3p_end	chimp_intergenic_3p_len	chimp_exon_divergence	chimp_exon_callability	chimp_intergenic_5p_divergence	chimp_intergenic_5p_callability	chimp_intergenic_3p_divergence	chimp_intergenic_3p_callability	chimp_rec_start_pos	chimp_rec_end_pos	chimp_interpolated_4Ner/kp_rec_rate	chimp_prop_avg_4Ner/kb_rec_rate	chimp_inversion_sites	vervet_useability	vervet_transcript	vervet_gene_and_exon	vervet_chr	vervet_strand	vervet_UCSC_start	vervet_UCSC_end	vervet_exon_start	vervet_exon_end	vervet_exon_len	vervet_intergenic_5p_start	vervet_intergenic_5p_end	vervet_intergenic_5p_len	vervet_intergenic_3p_start	vervet_intergenic_3p_end	vervet_intergenic_3p_len	vervet_exon_divergence	vervet_exon_callability	vervet_intergenic_5p_divergence	vervet_intergenic_5p_callability	vervet_intergenic_3p_divergence	vervet_intergenic_3p_callability	vervet_rec_start_pos	vervet_rec_end_pos	vervet_interpolated_4Ner/kp_rec_rate	vervet_prop_avg_4Ner/kb_rec_rate	vervet_inversion_sites
1	SPSB1	chr1	+	9427507	9429591	9367448	9369532	2085	9362017	9367447	5431	9369533	9397313	27781	0.001918465	/	/	9364650	9377753	1.423344154	Y	ENSPTRT00000046470	ENSPTRG00000000114_ex2/2	chr1	+	9493302	9495382	9493302	9495382	2081	9487849	9493301	5453	9495383	9581383	86001	0.002531646	1975	0.00456073	4166	0.003906805	70390	9488079	9580839	2.573090395	2.655643181	NA	Y	ENSCSAT00000017767.1	ENSCSAG00000000767.1_ex1/3	chr20	-	122396930	122399005	122396930	122399005	2076	122399006	122404107	5102	122308796	122396929	88134	0.020568071	2042	0.015280136	4712	0.030128622	76970	122308820	122404058	0.190993605	0.190557163	NA
2	TGFBR3	chr1	-	92145900	92149414	91680343	91683857	3515	91683858	91689764	5907	91662342	91680342	18001	0.00056899	/	/	91678954	91702146	5.890760248	Y	ENSPTRT00000001796	ENSPTRG00000000952_ex1/17	chr1	-	93149095	93150507	93149095	93150507	1413	93150508	93156416	5909	93007396	93149094	141699	0.000724113	1381	0.002581756	5810	0.003113311	132335	93007680	93156296	0.191825153	0.203294128	NA	Y	ENSCSAT00000017072.1	ENSCSAG00000001461.1_ex17/17	chr20	+	41561873	41565343	41561873	41565343	3471	41555665	41561872	6208	41565344	41721193	155850	0.018050542	3324	0.023931927	5641	0.024536142	139590	41098643	42173854	0.00195	0.00185	NA
3	PLPPR5	chr1	-	99355801	99358660	98890245	98893104	2860	98893105	98903945	10841	98825373	98890244	64872	0.001048951	/	/	98888935	98893540	1.908158296	Y	ENSPTRT00000001862	ENSPTRG00000000993_ex1/6	chr1	-	100456276	100459134	100456276	100459134	2859	100459135	100469981	10847	100031314	100456275	424962	0.002496434	2804	0.001910585	10468	0.003543746	393369	100031074	100470002	0.874836005	0.934699407	NA	Y	ENSCSAT00000017036.1	ENSCSAG00000001497.1_ex6/6	chr20	+	34416266	34419051	34416266	34419051	2786	34405267	34416265	10999	34419052	34835922	416871	0.024963821	2764	0.030875271	10591	0.026542652	313081	34405282	34836122	0.266344652	0.220319097	NA
4	CDC14A	chr1	+	100983807	100985833	100518251	100520277	2027	100511594	100518250	6657	100520278	100529224	8947	0.00098668	/	/	100501607	100524621	1.575624531	Y	ENSPTRT00000043353	ENSPTRG00000001007_ex16/16	chr1	+	102116582	102118608	102116582	102118608	2027	102107092	102116581	9490	102118609	102127765	9157	0.001521298	1972	0.003224073	9305	0.003238053	8956	102106830	102127197	0.173523297	0.181218459	NA	Y	ENSCSAT00000017023.1	ENSCSAG00000001510.1_ex1/16	chr20	-	32822745	32825059	32822745	32825059	2315	32825060	32834571	9512	32812636	32822744	10109	0.015111111	2250	0.027752188	8684	0.002783505	9700	32812636	32834991	0.85569036	0.811453072	NA
5	KCNK2	chr1	+	215408171	215410436	215234828	215237093	2266	215214960	215234827	19868	215237094	215306795	69702	0	/	/	215235436	215236057	3.659593333	Y	ENSPTRT00000058198	ENSPTRG00000001978_ex7/7	chr1	+	195786129	195788368	195786129	195788368	2240	195765572	195786128	20557	195788369	195955031	166663	0.000905387	2209	0.002659041	19932	0.003294499	159053	195765359	195955115	0.367027288	0.466031558	NA	Y	ENSCSAT00000013654.1	ENSCSAG00000015559.1_ex1/7	chr25	-	14340122	14342550	14340122	14342550	2429	14342551	14362044	19494	14270072	14340121	70050	0.012987013	2387	0.0357881	18386	0.030876371	64904	14270112	14361692	0.530062667	0.61363232	NA
6	ESRRG	chr1	-	216676588	216680525	216503246	216507183	3938	216507184	216513167	5984	216463321	216503245	39925	0.001015744	/	/	216504008	216506575	1.540454	Y	ENSPTRT00000043883	ENSPTRG00000023622_ex1/7	chr1	-	197078233	197082179	197078233	197082179	3947	197082180	197088178	5999	197036266	197078232	41967	0.002320186	3879	0.004198006	5717	0.004505617	32404	197036292	197088182	1.304908711	1.292590348	NA	Y	ENSCSAT00000013773.1	ENSCSAG00000015679.1_ex7/7	chr25	+	13086772	13090733	13086772	13090733	3962	13080744	13086771	6028	13090734	13132154	41421	0.008706786	3905	0.030395137	5922	0.034457744	27570	13081019	13140073	0.140698158	0.480415072	NA
7	GNG4	chr1	-	235710985	235715537	235547685	235552237	4553	235552238	235567988	15751	235526083	235547684	21602	0.002415989	/	/	235547849	235552223	2.427366182	Y	ENSPTRT00000003898	ENSPTRG00000002133_ex1/4	chr1	-	216369694	216370827	216369694	216370827	1134	216370828	216387205	16378	216346694	216369693	23000	0.001831502	1092	0.004953477	14939	0.005208333	16320	216346972	216386936	2.06990036	2.034122982	NA	Y	ENSCSAT00000008139.1	ENSCSAG00000010055.1_ex1/2	chr25	-	72728007	72728133	72728007	72728133	127	72728134	72741870	13737	72702682	72728006	25325	0	126	0.026536427	12285	0.011404779	22096	72702960	72741628	0.080261819	0.045731995	NA
8	KIF3C	chr2	-	26203242	26205443	25980373	25982574	2202	25982575	25988626	6052	25968409	25980372	11964	0.000454133	/	/	25976763	25984556	2.063602461	Y	ENSPTRT00000021848	ENSPTRG00000011727_ex8/8	chr2a	-	26539037	26541239	26539037	26541239	2203	26541240	26649665	108426	26526512	26539036	12525	0.001311475	1525	0.002903011	97485	0.003729203	10458	26525561	26649805	0.158288666	0.183347353	NA	Y	ENSCSAT00000006749.1	ENSCSAG00000008688.1_ex1/8	chr14	+	81666792	81669089	81666792	81669089	2298	81569525	81666791	97267	81669090	81681228	12139	0.012839506	2025	0.022502369	75992	0.024186498	10295	81569571	81681283	0.045722599	0.030939205	NA
9	PPP1CB	chr2	+	29022065	29025806	28799199	28802940	3742	28796598	28799198	2601	28802941	28806887	3947	0.000534474	/	/	28796865	28807532	4.219737308	Y	ENSPTRT00000021944	ENSPTRG00000011788_ex9/9	chr2a	+	29432567	29436300	29432567	29436300	3734	29429964	29432566	2603	29436301	29440622	4322	0.001916758	3652	0.00117325	2557	0.001385042	3610	29429976	29440271	0.091532589	0.127834311	NA	Y	ENSCSAT00000008728.1	ENSCSAG00000010645.1_ex1/8	chr14	-	78804547	78804781	78804547	78804781	235	78804782	78807536	2755	78748188	78804546	56359	0.012765957	235	0.024417731	2662	0.014806707	48424	78748646	78808165	0.034867706	0.017176108	NA
10	PRKCE	chr2	+	46411874	46415129	46184735	46187990	3256	46172244	46184734	12491	46187991	46242696	54706	0.001535627	/	/	46039192	46241875	1.768999255	Y	ENSPTRT00000022122	ENSPTRG00000011890_ex16/16	chr2a	+	47260951	47261098	47260951	47261098	148	47247514	47260950	13437	47261099	47322615	61517	0	148	0.004452158	13252	0.003733021	44468	47247949	47322628	0.475137	0.469317899	NA	Y	ENSCSAT00000011451.1	ENSCSAG00000013435.1_ex1/13	chr14	-	61026016	61026163	61026016	61026163	148	61026164	61038400	12237	60969401	61026015	56615	0	148	0.032004992	11217	0.027824819	46649	60969347	61036764	1.476736891	1.526874134	NA
11	ANTXR1	chr2	+	69472357	69476459	69245225	69249327	4103	69219320	69245224	25905	69249328	69284548	35221	0.001706069	/	/	68513521	70448194	4.205595751	Y	ENSPTRT00000022345	ENSPTRG00000012011_ex18/18	chr2a	+	70744093	70748039	70744093	70748039	3947	70718002	70744092	26091	70748040	70792327	44288	0.002324981	3871	0.002814337	24162	0.004957684	39938	70717996	70792135	0.462619971	0.445525499	NA	Y	ENSCSAT00000013063.1	ENSCSAG00000014972.1_ex1/18	chr14	-	37877435	37881400	37877435	37881400	3966	37881401	37907443	26043	37747778	37877434	129657	0.02161578	3701	0.03016164	24004	0.030621872	111293	37747254	37907388	0.101636242	0.093807042	NA
12	SFXN5	chr2	-	73169165	73172228	72942036	72945099	3064	72945100	72951039	5940	72938464	72942035	3572	0.001631854	/	/	72940610	72952543	4.986583925	Y	ENSPTRT00000022428	ENSPTRG00000012056_ex1/14	chr2a	-	74519757	74520290	74519757	74520290	534	74520291	74528462	8172	74460447	74519756	59310	0	461	0.003622251	7730	0.003504486	49936	74461782	74528605	0.189510573	0.193706531	NA	Y	ENSCSAT00000013415.1	ENSCSAG00000015340.1_ex14/14	chr14	+	34221666	34221744	34221666	34221744	79	34213728	34221665	7938	34221745	34283321	61577	0	79	0.030960572	7558	0.029046018	55326	34213938	34283310	0.01475911	0.002390067	NA
