#	chr	strand	exon_start	exon_end	exon_len	intergenic_5p_start	intergenic_5p_end	intergenic_5p_len	intergenic_3p_start	intergenic_3p_end	intergenic_3p_len
1	chr1	+	9367448	9369532	2085	9362017	9367447	5431	9369533	9397313	27781
2	chr1	-	9848276	9850776	2501	9850777	9860981	10205	9836401	9848275	11875
3	chr1	+	15784548	15786589	2042	15780918	15784547	3630	15786590	15789658	3069
4	chr1	-	70259002	70262847	3846	70262848	70266851	4004	70255511	70259001	3491
5	chr1	+	78536406	78540701	4296	78517175	78536405	19231	78540702	78580541	39840
6	chr1	-	91680343	91683857	3515	91683858	91689764	5907	91662342	91680342	18001
7	chr1	-	92508696	92513970	5275	92513971	92538806	24836	92497786	92508695	10910
8	chr1	-	98890245	98893104	2860	98893105	98903945	10841	98825373	98890244	64872
9	chr1	+	100518251	100520277	2027	100511594	100518250	6657	100520278	100529224	8947
10	chr1	+	107480611	107484899	4289	107458705	107480610	21906	107484900	107495013	10114
11	chr1	+	117522825	117525698	2874	117512898	117522824	9927	117525699	117561265	35567
12	chr1	-	118883043	118885516	2474	118885517	118892272	6756	118798454	118883042	84589
13	chr1	-	155477886	155482449	4564	155482450	155501774	19325	155468892	155477885	8994
14	chr1	+	167787820	167791919	4100	167781993	167787819	5827	167791920	167800653	8734
15	chr1	+	172407772	172412717	4946	172398291	172407771	9481	172412718	172416702	3985
16	chr1	-	173183731	173186865	3135	173186866	173196088	9223	173163052	173183730	20679
17	chr1	+	215234828	215237093	2266	215214960	215234827	19868	215237094	215306795	69702
18	chr1	-	216503246	216507183	3938	216507184	216513167	5984	216463321	216503245	39925
19	chr1	-	235547685	235552237	4553	235552238	235567988	15751	235526083	235547684	21602
20	chr1	+	246665700	246668582	2883	246663017	246665699	2683	246668583	246696329	27747
21	chr2	+	6895778	6898232	2455	6893052	6895777	2726	6898233	6905254	7022
22	chr2	-	25739384	25744476	5093	25744477	25747086	2610	25706516	25739383	32868
23	chr2	-	25980373	25982574	2202	25982575	25988626	6052	25968409	25980372	11964
24	chr2	+	28799199	28802940	3742	28796598	28799198	2601	28802941	28806887	3947
25	chr2	+	30257433	30260033	2601	30245970	30257432	11463	30260034	30303339	43306
26	chr2	+	30640117	30644225	4109	30604147	30640116	35970	30644226	30683498	39273
27	chr2	+	32154374	32157637	3264	32149691	32154373	4683	32157638	32161739	4102
28	chr2	+	46184735	46187990	3256	46172244	46184734	12491	46187991	46242696	54706
29	chr2	+	68577820	68580162	2343	68561566	68577819	16254	68580163	68603611	23449
30	chr2	+	69245225	69249327	4103	69219320	69245224	25905	69249328	69284548	35221
31	chr2	-	72942036	72945099	3064	72945100	72951039	5940	72938464	72942035	3572
32	chr2	+	74046278	74048411	2134	74024722	74046277	21556	74048412	74060980	12569
33	chr2	-	86603393	86605418	2026	86605419	86608788	3370	86583445	86603392	19948
34	chr2	+	109501503	109504636	3134	NA	NA	NA	109504637	109523716	19080
35	chr2	-	117915478	117920396	4919	117920397	117925716	5320	117873928	117915477	41550
36	chr2	+	154854727	154858352	3626	154782289	154854726	72438	154858353	154899346	40994
37	chr2	-	191834305	191836717	2413	191836718	191841580	4863	191772387	191834304	61918
38	chr2	-	199269500	199272672	3173	199272673	199290716	18044	198822299	199269499	447201
39	chr2	+	205615456	205620162	4707	205584430	205615455	31026	205620163	205651331	31169
40	chr2	+	235040888	235043247	2360	235038004	235040887	2884	235043248	235047904	4657
41	chr3	-	8877196	8881459	4264	8881460	8885924	4465	8823405	8877195	53791
42	chr3	+	14818962	14821596	2635	14815188	14818961	3774	14821597	14842862	21266
43	chr3	+	23977223	23980618	3396	23972623	23977222	4600	23980619	24038518	57900
44	chr3	-	43079229	43081536	2308	43081537	43093686	12150	43068472	43079228	10757
45	chr3	+	44407442	44409448	2007	44404388	44407441	3054	44409449	44415290	5842
46	chr3	+	44658701	44660791	2091	44655701	44658700	3000	44660792	44686717	25926
47	chr3	+	102477443	102479841	2399	102473973	102477442	3470	102479842	102860375	380534
48	chr3	-	105655461	105659229	3769	105659230	105664731	5502	105616187	105655460	39274
49	chr3	-	149517235	149520989	3755	149520990	149523501	2512	149510315	149517234	6920
50	chr3	-	149738470	149741718	3249	149741719	149746198	4480	149720872	149738469	17598
51	chr3	+	155180360	155183729	3370	155176486	155180359	3874	155183730	155212603	28874
52	chr3	+	172397164	172400703	3540	172389129	172397163	8035	172400704	172412449	11746
53	chr3	-	185078050	185083563	5514	185083564	185118095	34532	185065332	185078049	12718
54	chr3	-	192796815	192799650	2836	192799651	192858640	58990	192762207	192796814	34608
55	chr3	+	196584133	196589059	4927	196580971	196584132	3162	196589060	196610281	21222
56	chr4	-	6320578	6323593	3016	6323594	6326427	2834	6311922	6320577	8656
57	chr4	-	46035769	46041254	5486	46041255	46046339	5085	46015569	46035768	20200
58	chr4	+	52094880	52097305	2426	52089940	52094879	4940	52097306	52344132	246827
59	chr4	-	67753814	67756086	2273	67756087	67788481	32395	67749301	67753813	4513
60	chr4	+	70480799	70482997	2199	70477437	70480798	3362	70482998	70500784	17787
61	chr4	+	75046163	75050115	3953	75040062	75046162	6101	75050116	75202716	152601
62	chr4	-	75479037	75482666	3630	75482667	75486623	3957	75420802	75479036	58235
63	chr4	+	76738761	76741926	3166	76734848	76738760	3913	76741927	76745471	3545
64	chr4	-	76894929	76897849	2921	76897850	76923781	25932	76839091	76894928	55838
65	chr4	-	104468306	104472366	4061	104472367	104481555	9189	104094061	104468305	374245
66	chr4	+	113381457	113383740	2284	113377453	113381456	4004	113383741	113402031	18291
67	chr4	-	113900284	113903675	3392	113903676	113941056	37381	113831106	113900283	69178
68	chr4	+	125316412	125321586	5175	125014572	125316411	301840	125321587	125360185	38599
69	chr4	+	133190141	133194610	4470	133176712	133190140	13429	133194611	133695471	500861
70	chr4	-	154489304	154491725	2422	154491726	154507843	16118	154440301	154489303	49003
71	chr4	-	161383892	161386449	2558	161386450	161420726	34277	160372021	161383891	1011871
72	chr4	-	169986597	169992309	5713	169992310	169997137	4828	169981250	169986596	5347
73	chr4	-	174642011	174644064	2054	174644065	174651559	7495	174582452	174642010	59559
74	chr4	-	184088706	184091382	2677	184091383	184094313	2931	184080953	184088705	7753
75	chr5	+	6491218	6496721	5504	6470233	6491217	20985	6496722	6539428	42707
76	chr5	-	33523535	33527366	3832	33527367	33531099	3733	33513431	33523534	10104
77	chr5	-	43444252	43446557	2306	43446558	43450107	3550	43428322	43444251	15930
78	chr5	+	54543179	54546586	3408	54532092	54543178	11087	54546587	54603372	56786
79	chr5	+	64369615	64372869	3255	64352773	64369614	16842	64372870	64439408	66539
80	chr5	-	65148736	65151945	3210	65151946	65161281	9336	65083750	65148735	64986
81	chr5	-	79373824	79376197	2374	79376198	79386510	10313	79350520	79373823	23304
82	chr5	-	83052846	83057154	4309	83057155	83060679	3525	82956341	83052845	96505
83	chr5	-	83940595	83943568	2974	83943569	83953386	9818	83830836	83940594	109759
84	chr5	+	98793085	98796494	3410	98786587	98793084	6498	98796495	98814937	18443
