#	human_gene	human_chr	human_strand	hg19_exon_start	hg19_exon_end	hg18_exon_start	hg18_exon_end	human_exon_len	human_intergenic_5p_start	human_intergenic_5p_end	human_intergenic_5p_len	human_intergenic_3p_start	human_intergenic_3p_end	human_intergenic_3p_len	chimp_useability	chimp_transcript	chimp_gene_and_exon	chimp_chr	chimp_strand	chimp_UCSC_start	chimp_UCSC_end	chimp_exon_start	chimp_exon_end	chimp_exon_len	chimp_intergenic_5p_start	chimp_intergenic_5p_end	chimp_intergenic_5p_len	chimp_intergenic_3p_start	chimp_intergenic_3p_end	chimp_intergenic_3p_len	vervet_useability	vervet_transcript	vervet_gene_and_exon	vervet_chr	vervet_strand	vervet_UCSC_start	vervet_UCSC_end	vervet_exon_start	vervet_exon_end	vervet_exon_len	vervet_intergenic_5p_start	vervet_intergenic_5p_end	vervet_intergenic_5p_len	vervet_intergenic_3p_start	vervet_intergenic_3p_end	vervet_intergenic_3p_len
1	SPSB1	chr1	+	9427507	9429591	9367448	9369532	2085	9362017	9367447	5431	9369533	9397313	27781	Y	ENSPTRT00000046470	ENSPTRG00000000114_ex2/2	chr1	+	9493302	9495382	9493302	9495382	2081	9487849	9493301	5453	9495383	9581383	86001	Y	ENSCSAT00000017767.1	ENSCSAG00000000767.1_ex1/3	chr20	-	122396930	122399005	122396930	122399005	2076	122399006	122404107	5102	122308796	122396929	88134
2	CTNNBIP1	chr1	-	9908334	9910834	9848276	9850776	2501	9850777	9860981	10205	9836401	9848275	11875	Y	ENSPTRT00000043749	ENSPTRG00000000122_ex1/6	chr1	-	9999460	10000137	9999460	10000137	678	10000138	10000282	145	9986157	9999459	13303	Y	ENSCSAT00000017762.1	ENSCSAG00000000772.1_ex4/4	chr20	+	121919035	121921621	121919035	121921621	2587	121909101	121919034	9934	121921622	121933006	11385
3	FBLIM1	chr1	+	16111043	16113084	15784548	15786589	2042	15780918	15784547	3630	15786590	15789658	3069	N	ENSPTRT00000000441	ENSPTRG00000000208_ex9/9	chr1	+	15995053	15995870	15995053	15997101	2049	15991639	15995052	3414	15997102	16027654	30553	Y	ENSCSAT00000017693.1	ENSCSAG00000000840.1_ex1/8	chr20	-	116518678	116520805	116518678	116520805	2128	116520806	116523935	3130	116488371	116518677	30307
4	ANKRD13C	chr1	-	70724685	70728530	70259002	70262847	3846	70262848	70266851	4004	70255511	70259001	3491	Y	ENSPTRT00000001618	ENSPTRG00000000853_ex1/13	chr1	-	71498834	71499807	71498834	71499807	974	71499808	71503806	3999	71470411	71498833	28423	Y	ENSCSAT00000017157.1	ENSCSAG00000001376.1_ex13/13	chr20	+	62876438	62879492	62876438	62879492	3055	62873513	62876437	2925	62879493	62906006	26514
5	PTGFR	chr1	+	79002091	79006386	78536406	78540701	4296	78517175	78536405	19231	78540702	78580541	39840	N	ENSPTRT00000059064	ENSPTRG00000000891_ex3/4	chr1	+	79893474	79895155	79893474	79895155	1682	79875403	79893473	18071	79895156	79895427	272	Y	ENSCSAT00000017127.1	ENSCSAG00000001406.1_ex1/2	chr20	-	54659196	54663098	54659196	54663098	3903	54663099	54683361	20263	54622613	54659195	36583
6	TGFBR3	chr1	-	92145900	92149414	91680343	91683857	3515	91683858	91689764	5907	91662342	91680342	18001	Y	ENSPTRT00000001796	ENSPTRG00000000952_ex1/17	chr1	-	93149095	93150507	93149095	93150507	1413	93150508	93156416	5909	93007396	93149094	141699	Y	ENSCSAT00000017072.1	ENSCSAG00000001461.1_ex17/17	chr20	+	41561873	41565343	41561873	41565343	3471	41555665	41561872	6208	41565344	41721193	155850
7	EVI5	chr1	-	92974253	92979527	92508696	92513970	5275	92513971	92538806	24836	92497786	92508695	10910	Y	ENSPTRT00000001813	ENSPTRG00000000962_ex1/18	chr1	-	93999485	93999800	93999485	93999800	316	93999801	94025627	25827	93984436	93999484	15049	Y	ENSCSAT00000017063.1	ENSCSAG00000001470.1_ex22/22	chr20	+	40746372	40746422	40746372	40746422	51	40734593	40746371	11779	40746423	40761619	15197
8	PLPPR5	chr1	-	99355801	99358660	98890245	98893104	2860	98893105	98903945	10841	98825373	98890244	64872	Y	ENSPTRT00000001862	ENSPTRG00000000993_ex1/6	chr1	-	100456276	100459134	100456276	100459134	2859	100459135	100469981	10847	100031314	100456275	424962	Y	ENSCSAT00000017036.1	ENSCSAG00000001497.1_ex6/6	chr20	+	34416266	34419051	34416266	34419051	2786	34405267	34416265	10999	34419052	34835922	416871
9	CDC14A	chr1	+	100983807	100985833	100518251	100520277	2027	100511594	100518250	6657	100520278	100529224	8947	Y	ENSPTRT00000043353	ENSPTRG00000001007_ex16/16	chr1	+	102116582	102118608	102116582	102118608	2027	102107092	102116581	9490	102118609	102127765	9157	Y	ENSCSAT00000017023.1	ENSCSAG00000001510.1_ex1/16	chr20	-	32822745	32825059	32822745	32825059	2315	32825060	32834571	9512	32812636	32822744	10109
10	NTNG1	chr1	+	108023233	108027521	107480611	107484899	4289	107458705	107480610	21906	107484900	107495013	10114	Y	ENSPTRT00000058950	ENSPTRG00000001023_ex9/9	chr1	+	109169178	109170392	109169178	109170392	1215	109158538	109169177	10640	109170393	109638623	468231	Y	ENSCSAT00000017010.1	ENSCSAG00000001523.1_ex1/6	chr20	-	26112016	26112246	26112016	26112246	231	26112247	26134877	22631	25905418	26112015	206598
